Year,State,Award Amount
2006,AL,737595
2006,AL,726489
2006,AL,6853637
2006,AL,292138
2006,AL,2121412
2006,AL,511000
2006,AL,526317
2006,AL,547992
2006,AL,436035
2006,AL,1195343
2006,AL,290300
2006,AL,1324979
2006,AL,701446
2006,AL,2129576
2006,AL,91214
2006,AL,968437
2006,AL,2063935
2006,AL,88337
2006,AL,875821
2006,AL,2964247
2006,AL,125897
2006,AL,1438240
2006,AL,2160366
2006,AL,92510
2006,AL,1191043
2006,AL,260474
2006,AL,947855
2006,AL,603286
2007,AL,520531
2007,AL,56393
2007,AL,105016
2007,AL,275772
2007,AL,129413
2007,AL,127252
2007,AL,177727
2007,AL,194792
2007,AL,286800
2007,AL,138606
2007,AL,164652
2007,AL,62178
2007,AL,81514
2007,AL,108964
2007,AL,209042
2007,AL,294501
2007,AL,70327
2007,AL,29297
2007,AL,101830
2007,AL,120244
2007,AL,25261
2007,AL,171019
2007,AL,163077
2007,AL,86100
2007,AL,231093
2007,AL,226332
2007,AL,271762
2007,AL,78178
2007,AL,20983
2007,AL,105000
2007,AL,69087
2007,AL,123060
2007,AL,158777
2007,AL,309792
2007,AL,384573
2007,AL,143430
2007,AL,148732
2007,AL,94756
2007,AL,88222
2007,AL,156600
2007,AL,128638
2007,AL,149300
2007,AL,186873
2007,AL,258590
2007,AL,108857
2007,AL,314705
2007,AL,47835
2007,AL,126426
2007,AL,142892
2007,AL,219089
2007,AL,82378
2007,AL,26460
2007,AL,50520
2007,AL,173280
2007,AL,3282744
2007,AL,234751
2007,AL,138600
2007,AL,128181
2007,AL,159973
2007,AL,491080
2007,AL,240471
2007,AL,64688
2007,AL,303477
2007,AL,879963
2007,AL,26001120
2007,AL,1445406
2007,AL,15978813
2007,AL,1163000
2007,AL,678760
2007,AL,738505
2007,AL,724956
2007,AL,6847776
2007,AL,295584
2007,AL,2099252
2007,AL,516000
2007,AL,524788
2007,AL,548642
2007,AL,434489
2007,AL,1193031
2007,AL,861224
2007,AL,290680
2007,AL,1322273
2007,AL,696529
2007,AL,2116915
2007,AL,91848
2007,AL,957870
2007,AL,2059505
2007,AL,89022
2007,AL,867657
2007,AL,2984792
2007,AL,127840
2007,AL,1423729
2007,AL,2149110
2007,AL,93173
2007,AL,1179499
2007,AL,260102
2007,AL,946650
2007,AL,598704
2008,AL,262903
2008,AL,86068
2008,AL,250510
2008,AL,82368
2008,AL,168453
2008,AL,159973
2008,AL,3451812
2008,AL,44664
2008,AL,182016
2008,AL,128181
2008,AL,186873
2008,AL,314705
2008,AL,26460
2008,AL,238439
2008,AL,246975
2008,AL,108857
2008,AL,64688
2008,AL,304727
2008,AL,520531
2008,AL,56393
2008,AL,294504
2008,AL,81009
2008,AL,131593
2008,AL,293602
2008,AL,138606
2008,AL,59902
2008,AL,70327
2008,AL,197854
2008,AL,181414
2008,AL,164652
2008,AL,64147
2008,AL,82639
2008,AL,110652
2008,AL,212695
2008,AL,300547
2008,AL,29297
2008,AL,20983
2008,AL,69087
2008,AL,384573
2008,AL,78178
2008,AL,479261
2008,AL,25261
2008,AL,241720
2008,AL,105000
2008,AL,103751
2008,AL,148732
2008,AL,86100
2008,AL,235521
2008,AL,123088
2008,AL,160019
2008,AL,175061
2008,AL,128638
2008,AL,94756
2008,AL,90284
2008,AL,234108
2008,AL,123060
2008,AL,163077
2008,AL,146187
2008,AL,149300
2008,AL,146917
2008,AL,126426
2008,AL,47835
2008,AL,138600
2008,AL,222381
2008,AL,25983873
2008,AL,1450737
2008,AL,15857315
2008,AL,1241000
2008,AL,649609
2008,AL,715473
2008,AL,698147
2008,AL,6587112
2008,AL,295046
2008,AL,2033367
2008,AL,538000
2008,AL,506780
2008,AL,530625
2008,AL,417096
2008,AL,1143632
2008,AL,997838
2008,AL,281450
2008,AL,1275408
2008,AL,673872
2008,AL,2036304
2008,AL,91210
2008,AL,927146
2008,AL,1412350
2008,AL,88737
2008,AL,523050
2008,AL,2856610
2008,AL,128604
2008,AL,1378860
2008,AL,2072288
2008,AL,92597
2008,AL,1142214
2008,AL,251976
2008,AL,914871
2008,AL,579850
2009,AL,246975
2009,AL,250510
2009,AL,245540
2009,AL,149300
2009,AL,146917
2009,AL,126426
2009,AL,47835
2009,AL,520531
2009,AL,138600
2009,AL,219089
2009,AL,262903
2009,AL,86068
2009,AL,82368
2009,AL,490770
2009,AL,3634596
2009,AL,301908
2009,AL,168453
2009,AL,54752
2009,AL,159973
2009,AL,128181
2009,AL,186873
2009,AL,314705
2009,AL,264899
2009,AL,108857
2009,AL,64688
2009,AL,304727
2009,AL,56393
2009,AL,307008
2009,AL,212602
2009,AL,212695
2009,AL,293602
2009,AL,138606
2009,AL,59902
2009,AL,70327
2009,AL,197854
2009,AL,181414
2009,AL,164652
2009,AL,64147
2009,AL,493838
2009,AL,63626
2009,AL,29297
2009,AL,28000
2009,AL,69087
2009,AL,128638
2009,AL,384573
2009,AL,135881
2009,AL,78178
2009,AL,479261
2009,AL,25261
2009,AL,241722
2009,AL,105000
2009,AL,103751
2009,AL,148732
2009,AL,86100
2009,AL,235521
2009,AL,458168
2009,AL,94756
2009,AL,90284
2009,AL,244080
2009,AL,123060
2009,AL,163077
2009,AL,146187
2009,AL,937228
2009,AL,26411515
2009,AL,1548581
2009,AL,17134713
2009,AL,1299792
2009,AL,37033031
2009,AL,659466
2009,AL,550977
2009,AL,728388
2009,AL,704300
2009,AL,6662347
2009,AL,293281
2009,AL,2271553
2009,AL,554848
2009,AL,2580214
2009,AL,511687
2009,AL,538780
2009,AL,417047
2009,AL,1161991
2009,AL,286009
2009,AL,1294385
2009,AL,751970
2009,AL,2055924
2009,AL,90663
2009,AL,1035600
2009,AL,2237876
2009,AL,1430220
2009,AL,584562
2009,AL,2932703
2009,AL,127186
2009,AL,1545522
2009,AL,2097770
2009,AL,92265
2009,AL,1279042
2009,AL,257300
2009,AL,936615
2009,AL,655554
2010,AL,520531
2010,AL,245600
2010,AL,149300
2010,AL,186873
2010,AL,262903
2010,AL,108857
2010,AL,314705
2010,AL,47835
2010,AL,81009
2010,AL,126426
2010,AL,307008
2010,AL,146917
2010,AL,131593
2010,AL,219089
2010,AL,56393
2010,AL,245600
2010,AL,82368
2010,AL,86068
2010,AL,26460
2010,AL,264804
2010,AL,3886032
2010,AL,238439
2010,AL,138600
2010,AL,128181
2010,AL,168453
2010,AL,54752
2010,AL,159973
2010,AL,245540
2010,AL,246975
2010,AL,250510
2010,AL,83867
2010,AL,369415
2010,AL,59902
2010,AL,63626
2010,AL,181414
2010,AL,197854
2010,AL,293602
2010,AL,138606
2010,AL,164652
2010,AL,134678
2010,AL,64147
2010,AL,212695
2010,AL,493838
2010,AL,70327
2010,AL,29297
2010,AL,69087
2010,AL,60156
2010,AL,200520
2010,AL,28000
2010,AL,128638
2010,AL,319329
2010,AL,235521
2010,AL,135881
2010,AL,243708
2010,AL,103751
2010,AL,123088
2010,AL,25261
2010,AL,175061
2010,AL,163077
2010,AL,78178
2010,AL,86100
2010,AL,244386
2010,AL,90284
2010,AL,105000
2010,AL,120860
2010,AL,123060
2010,AL,160019
2010,AL,479261
2010,AL,384573
2010,AL,146187
2010,AL,148732
2010,AL,94756
2010,AL,879963
2010,AL,28171248
2010,AL,1550770
2010,AL,16720337
2010,AL,1403821
2010,AL,714322
2010,AL,548354
2010,AL,790875
2010,AL,764132
2010,AL,7223115
2010,AL,291788
2010,AL,2259018
2010,AL,593523
2010,AL,553169
2010,AL,583958
2010,AL,449579
2010,AL,1258583
2010,AL,861224
2010,AL,310646
2010,AL,1409155
2010,AL,747131
2010,AL,2219874
2010,AL,90320
2010,AL,1029858
2010,AL,2114102
2010,AL,918618
2010,AL,3197285
2010,AL,128396
2010,AL,1537184
2010,AL,2261949
2010,AL,92158
2010,AL,1271614
2010,AL,280096
2010,AL,20000000
2010,AL,1014889
2010,AL,650728
2011,AL,520531
2011,AL,48474
2011,AL,67754
2011,AL,123839
2011,AL,81009
2011,AL,53760
2011,AL,305268
2011,AL,131593
2011,AL,58856
2011,AL,56393
2011,AL,149300
2011,AL,186873
2011,AL,262903
2011,AL,108857
2011,AL,314705
2011,AL,47835
2011,AL,126426
2011,AL,146917
2011,AL,219089
2011,AL,245385
2011,AL,504376
2011,AL,82368
2011,AL,86068
2011,AL,26460
2011,AL,3962088
2011,AL,238439
2011,AL,138600
2011,AL,128181
2011,AL,168453
2011,AL,185130
2011,AL,54752
2011,AL,159973
2011,AL,250510
2011,AL,492515
2011,AL,83867
2011,AL,184285
2011,AL,137690
2011,AL,59902
2011,AL,63625
